"","2001","2004","2007","2008","2009","2010","2012","2013","2014","2015","2016","2017","2018","2019"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1.6",0,0,2,0,2,0,0,0,0,0,1,0,1,0
"1.8",0,0,6,2,4,0,0,1,0,0,3,0,0,0
"2",0,0,25,18,1,0,0,3,0,0,2,0,3,0
"2.2",3,0,106,109,1,0,3,0,4,0,12,4,9,0
"2.4",2,0,24,31,0,0,2,2,12,0,18,2,10,0
"2.6",5,0,264,206,0,0,2,8,13,2,74,4,29,4
"2.8",2,0,18,21,0,0,4,12,8,1,125,0,3,2
"3",13,0,174,106,0,0,16,66,4,0,318,1,29,0
"3.2",24,2,420,188,1,0,13,183,16,5,421,3,89,10
"3.4",5,1,69,49,5,3,28,435,54,10,452,4,52,8
"3.6",37,8,590,229,12,8,29,1035,265,46,343,23,277,81
"3.8",13,7,50,25,11,0,57,1555,516,15,364,8,90,27
"4",34,26,420,93,25,14,98,2261,960,60,764,57,467,88
"4.2",50,27,211,56,20,43,90,2352,1034,104,1377,84,692,120
"4.4",102,61,192,48,44,101,109,2250,685,437,2105,113,1419,335
"4.6",82,34,54,6,33,127,81,1420,269,445,2531,76,1388,616
"4.8",22,13,7,2,14,56,39,743,76,192,2787,26,721,334
"5",41,16,55,8,57,99,13,344,53,789,2544,85,1404,921
"5.2",19,4,8,3,46,101,8,169,22,654,1676,74,990,858
"5.4",9,1,3,0,23,89,4,78,8,444,864,139,719,698
"5.6",1,0,0,0,0,44,2,29,0,77,309,91,205,201
"5.8",0,0,0,0,1,12,1,4,1,13,89,41,25,25
"6",0,0,0,0,0,3,1,0,0,5,16,73,19,31
"6.2",0,0,0,0,0,0,0,0,0,1,2,62,3,4
"6.4",0,0,0,0,0,0,0,0,0,0,2,28,0,0
"6.6",0,0,0,0,0,0,0,0,0,0,0,2,0,0
"6.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
