"","2001","2004","2005","2006","2007","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.6",0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0
"1.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,2,0,1,0,2,0,1,0,0,1,2,0,0
"2.2",0,0,0,4,8,0,1,1,50,3,6,0,1,0,19,0,0
"2.4",0,0,0,0,3,0,2,0,79,7,5,0,3,0,21,0,0
"2.6",0,0,0,17,41,0,26,0,264,25,16,0,3,0,70,2,0
"2.8",1,0,0,7,5,0,23,0,91,31,2,0,17,3,41,2,0
"3",8,0,0,6,80,2,92,3,540,177,16,0,46,23,61,2,0
"3.2",61,1,3,10,126,13,239,38,943,535,56,0,102,76,120,12,3
"3.4",45,0,3,5,1,9,117,52,772,1157,87,2,86,94,133,16,1
"3.6",166,6,9,47,66,40,324,397,1605,2466,667,10,126,277,516,51,17
"3.8",71,6,15,44,18,17,126,152,1032,2452,382,11,115,154,399,34,8
"4",242,16,90,143,176,59,303,785,2002,3600,1499,55,219,446,877,199,65
"4.2",373,17,236,305,202,105,606,1060,2687,4073,1945,115,329,641,1155,694,85
"4.4",677,20,746,721,329,238,1617,2014,5430,4287,2890,411,502,1228,1958,1948,188
"4.6",285,18,445,680,246,74,2056,1761,5629,3185,2365,393,554,1059,1576,2264,110
"4.8",106,8,151,327,125,39,1769,1111,3420,1641,1058,218,608,497,880,1185,45
"5",116,5,245,803,198,57,3042,2343,6380,859,1515,597,519,680,1514,2007,44
"5.2",41,3,52,580,135,24,3448,2183,5269,361,930,437,347,323,1047,1325,28
"5.4",8,0,5,411,111,20,3371,2047,5366,147,796,368,146,178,631,702,6
"5.6",0,0,0,77,21,0,1962,609,1626,35,248,59,55,11,130,185,0
"5.8",0,0,0,10,4,0,762,149,219,6,19,13,23,4,14,36,0
"6",0,0,0,2,3,0,148,200,143,3,37,11,2,3,3,12,0
"6.2",0,0,0,1,0,0,29,123,12,0,5,0,1,1,0,0,0
"6.4",0,0,0,0,0,0,12,54,7,0,3,0,0,0,0,0,0
"6.6",0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
"6.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
